Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0158,118.978809205863,118.978671943192,118.978875811657,1707.27001953125,1615.51,1792.13000488281,204,3,1,NA,183030.317604168,183030.317604168,183030.317604168
FT0159,118.978751596458,118.978694525294,118.978801574924,2057.785,2023.69995117188,2095.2900390625,96,3,1,NA,341593.154974723,341593.154974723,341593.154974723
FT0160,118.97882675932,118.978741776377,118.979044336178,1322.60998535156,1223.28,1399.32,120,3,1,NA,277444.666570323,277444.666570323,277444.666570323
FT0161,118.978837437015,118.978796134707,118.978898460534,362.376495361328,262.453,473.256011962891,120,3,1,NA,64966.567886719,82423.0771362303,82423.0771362303
FT0162,118.978827948501,118.978756244489,118.978876515218,812.161987304688,706.27197265625,932.156005859375,126,3,1,NA,140986.603823244,140986.603823244,140986.603823244
FT0163,118.978902499406,118.942722260359,118.980921235857,2446.17,2405.55,2459.66,45,4,1,49821.4534212551,947442.351940915,947442.351940915,947442.351940915
FT0164,118.978827430717,118.978636799428,118.97898429444,1168.31994628906,1097.31994628906,1207.90002441406,57,3,1,NA,210657.81209167,210657.81209167,210657.81209167
FT0165,118.978783590106,118.942720568959,118.978881022513,186.356002807617,124.224998474121,249.06,63,3,1,NA,32060.3614365239,32060.3614365239,32060.3614365239
FT0166,118.978844891846,118.978775102779,118.978877210899,590.708,484.597991943359,683.693,96,3,1,NA,577295.367837892,123507.002519531,123507.002519531
FT0167,118.978809742082,118.978766806152,118.979026721377,1001.86899267578,952.302978515625,1058.27001953125,48,3,1,NA,136854.368821189,299952.314755857,299952.314755857
FT0168,118.978869691939,118.978815778783,118.978923605095,1074.92498779297,1066,1083.85,12,3,1,NA,186999.286025396,602406.102073648,602406.102073648
FT0169,118.97882854059,118.97859506282,119.085478426745,1515.5,1415.59997558594,1588.87,155,4,1,453178.569790652,325036.8671875,325036.8671875,325036.8671875
FT0170,119.070114070656,119.070114070656,119.07019800498,1606.03002929688,1606.03,1610.96203613281,4,4,1,8770832.40732056,150595.814030761,150595.814030761,150595.814030761
FT0171,119.049032653617,119.049032653617,119.049032653617,-78.261599989891,-78.261599989891,-78.261599989891,1,1,1,122467.783078125,NA,NA,NA
FT0172,119.968706901807,119.950523709319,119.986890094294,124.224998474121,124.224998474121,124.225,6,3,1,NA,69748.0447302246,69748.0447302246,69748.0447302246
